bikeid,max_tripduration,min_tripduration,average_tripduration
6264,2749.00,142.00,809.74
642,2979.00,191.00,706.73
4077,5942.00,76.00,1125.44
778,5979.00,106.00,996.08
3806,3991.00,100.00,944.90
2378,2150.00,257.00,665.04
84,4063.00,166.00,948.52
1329,1708.00,104.00,655.80
6007,6827.00,153.00,930.95
5285,9849.00,160.00,1190.60
4581,8502.00,136.00,1053.95
805,8983.00,215.00,1462.04
2278,5690.00,183.00,1057.67
751,3788.00,184.00,1020.58
6421,9394.00,145.00,1083.40
4207,14226.00,110.00,2178.57
5499,3510.00,281.00,900.00
6315,2563.00,169.00,778.79
2772,5373.00,213.00,835.46
4598,3282.00,114.00,844.71
6463,1643.00,165.00,644.67
222,256.00,256.00,256.00
3777,7580.00,136.00,962.55
3883,2777.00,142.00,781.84
3234,1715.00,196.00,874.04
549,28120.00,171.00,1593.32
621,3436.00,215.00,1085.50
979,7135.00,233.00,792.38
556,6346.00,127.00,1152.54
690,1350.00,185.00,642.25
4074,6524.00,126.00,1216.54
2173,2478.00,144.00,826.92
5975,5133.00,81.00,941.03
5718,6359.00,148.00,1026.05
5380,2053.00,215.00,885.38
2116,4651.00,128.00,1240.15
1789,4424.00,283.00,1306.07
2606,2548.00,70.00,733.90
4081,7480.00,122.00,847.48
4679,2927.00,127.00,758.35
5527,7179.00,283.00,1568.68
3593,5574.00,104.00,1168.79
3531,2804.00,151.00,868.47
2421,5406.00,169.00,808.80
4010,3992.00,99.00,939.00
1136,4373.00,95.00,1161.39
1876,4667.00,137.00,1093.03
6319,4674.00,178.00,1044.13
2833,2432.00,110.00,766.10
6295,3271.00,104.00,850.20
6069,2470.00,166.00,833.48
5717,3995.00,90.00,960.82
6422,5118.00,133.00,891.29
1276,4093.00,138.00,951.69
6075,3855.00,103.00,878.07
226,2048.00,194.00,835.07
5833,5268.00,141.00,885.48
6119,13137.00,117.00,1169.41
3991,3089.00,121.00,889.82
3132,6580.00,210.00,1062.00
2901,1895.00,199.00,674.90
4471,3264.00,74.00,930.73
4156,3195.00,254.00,858.95
