station_id,station_name,num_departures,num_arrivals
247,Shore Dr & 55th St,380,375
129,Blue Island Ave & 18th St,277,275
91,Clinton St & Washington Blvd,2476,2436
600,Dodge Ave & Church St,39,32
36,Franklin St & Jackson Blvd,978,985
49,Dearborn St & Monroe St,1015,982
339,Emerald Ave & 31st St,152,151
260,Kedzie Ave & Milwaukee Ave,491,501
114,Sheffield Ave & Waveland Ave,690,758
232,Pine Grove Ave & Waveland Ave,515,508
41,Federal St & Polk St,586,645
264,Stetson Ave & South Water St,635,573
190,Southport Ave & Wrightwood Ave,309,306
254,Pine Grove Ave & Irving Park Rd,498,492
20,Sheffield Ave & Kingsbury St,502,517
68,Clinton St & Tilden St,333,311
169,Canal St & Harrison St,186,128
28,Larrabee St & Menomonee St,265,248
12,South Shore Dr & 71st St,27,27
286,Franklin St & Quincy St,662,619
420,Ellis Ave & 55th St,396,384
32,Racine Ave & Congress Pkwy,313,331
163,Damen Ave & Clybourn Ave,181,198
186,Ogden Ave & Race Ave,312,379
15,Racine Ave & 18th St,199,217
323,Sheridan Rd & Lawrence Ave,173,156
602,Central St & Girard Ave,56,48
274,Racine Ave & 15th St,119,131
209,Normal Ave & Archer Ave,58,57
408,Union Ave & Root St,15,19
526,Oakley Ave & Touhy Ave,25,20
475,Washtenaw Ave & Lawrence Ave,93,94
598,Elmwood Ave & Austin St,32,35
263,Rhodes Ave & 32nd St,94,99
480,Albany Ave & Montrose Ave,53,48
381,Western Ave & Monroe St,31,63
373,Kedzie Ave & Chicago Ave,21,48
271,Cottage Grove Ave & 43rd St,22,34
528,Pulaski Rd & Lake St,5,2
534,Karlov Ave & Madison St,6,8
579,Phillips Ave & 79th St,7,3
578,Bennett Ave & 79th St,2,2
583,Stony Island Ave & 82nd St,1,4
662,Dodge Ave & Mulford St,3,3
74,Kingsbury St & Erie St,986,868
48,Larrabee St & Kingsbury St,1067,1061
174,Canal St & Madison St,1647,1576
225,Halsted St & Dickens Ave,419,490
199,Wabash Ave & Grand Ave,1061,1073
205,Paulina St & 18th St,190,204
359,Larrabee St & Division St,509,463
416,Dorchester Ave & 49th St,34,33
90,Millennium Park,1620,1834
